Team,Team_Win_Rate,Team_Position,Team_Points,Gls_90,Ast_90,Contributions_90,xG_90,xAG_90,Performance_vs_xG,Performance_vs_xAG,PrgC,PrgP
Manchester City,73.684,1,91,0.194,0.162,0.356,0.178,0.159,0.581,0.357,53.476,98.0
Arsenal,73.684,2,89,0.183,0.162,0.345,0.198,0.139,0.381,0.29,38.952,99.619
Liverpool,63.158,3,82,0.172,0.143,0.314,0.192,0.137,-0.448,-0.196,40.174,91.565
Aston Villa,52.632,4,68,0.201,0.123,0.324,0.161,0.099,0.304,0.248,33.304,62.87
Tottenham Hotspur,52.632,5,66,0.135,0.185,0.32,0.167,0.161,-0.029,0.017,39.792,87.583
Chelsea,47.368,6,63,0.182,0.116,0.297,0.175,0.118,0.02,-0.036,34.88,64.44
Newcastle United,47.368,7,60,0.211,0.112,0.323,0.194,0.117,0.212,0.12,29.32,62.0
Manchester United,47.368,8,60,0.135,0.087,0.222,0.122,0.094,-0.0,-0.188,28.769,56.654
West Ham United,36.842,9,52,0.135,0.065,0.2,0.124,0.072,0.214,0.223,25.273,54.773
Crystal Palace,34.211,10,49,0.112,0.1,0.212,0.118,0.097,0.288,0.179,21.083,48.958
Brighton,31.579,11,48,0.116,0.091,0.207,0.14,0.108,-0.282,-0.214,30.821,63.5
Bournemouth,34.211,12,48,0.144,0.106,0.25,0.192,0.112,-0.188,-0.073,27.038,50.038
Fulham,34.211,13,47,0.169,0.152,0.321,0.152,0.112,0.1,0.091,30.227,66.591
Wolverhampton,34.211,14,46,0.121,0.067,0.188,0.131,0.09,-0.048,0.136,26.84,47.2
Everton,34.211,15,40,0.107,0.03,0.137,0.205,0.108,-0.704,-0.983,21.522,49.087
Brentford,26.316,16,39,0.14,0.112,0.252,0.152,0.106,-0.244,-0.196,19.64,51.04
Nottingham Forest,23.684,17,32,0.085,0.088,0.173,0.103,0.082,-0.043,0.163,20.067,37.933
Luton Town,15.789,18,26,0.127,0.078,0.206,0.108,0.071,0.212,0.116,27.0,44.44
Burnley,13.158,19,24,0.086,0.059,0.145,0.105,0.072,-0.036,0.011,25.75,42.036
Sheffield United,7.895,20,16,0.056,0.031,0.087,0.095,0.072,-0.287,-0.27,11.4,29.433
